"id","sex","location","weight","group","col","row"
"193","F","site-d",58.9519045834008,3,6,"A"
"40","F","site-e",48.5234416017715,3,7,"A"
"176","F","site-a",59.8077986881521,3,8,"A"
"25","M","site-a",43.7013339756833,3,9,"A"
"18","F","site-e",58.9544014601403,3,10,"A"
"155","F","site-d",44.8639439808726,3,11,"A"
"37","F","site-b",67.6288076320916,3,12,"A"
"159","M","site-b",35.1895394794171,3,1,"B"
"97","F","site-a",51.2065378644706,3,2,"B"
"145","M","site-d",53.153637150415,3,3,"B"
"112","M","site-f",49.3832989416994,3,4,"B"
"218","M","site-a",47.2932996826581,3,5,"B"
"36","F","site-c",54.0736304816053,3,6,"B"
"144","M","site-b",59.9555181689305,3,7,"B"
"BLANK-9",NA,"blank",NA,3,8,"B"
"118","M","site-c",36.2370100942618,3,9,"B"
"202","M","site-e",60.1391606060102,3,10,"B"
"46","M","site-b",38.1571344558913,3,11,"B"
"123","F","site-e",46.4300360354938,3,12,"B"
"126","F","site-c",37.5892066004783,3,1,"C"
"128","F","site-f",49.2552335974979,3,2,"C"
"24","F","site-f",44.7344684930108,3,3,"C"
"216","F","site-b",53.2717214512176,3,4,"C"
"67","M","site-f",58.8680009998934,3,5,"C"
"27","F","site-f",45.77191393231,3,6,"C"
"17","M","site-c",44.7559826502586,3,7,"C"
"50","F","site-b",62.6371900516546,3,8,"C"
"189","M","site-d",35.2157832154024,3,9,"C"
"REP-9",NA,"replicate",NA,3,10,"C"
"62","F","site-c",46.6515805859744,3,11,"C"
"110","M","site-d",46.7477916711134,3,12,"C"
"172","F","site-d",50.1778313756533,3,1,"D"
"80","M","site-a",49.3557662664369,3,2,"D"
"168","M","site-a",31.5083917365448,3,3,"D"
"20","F","site-d",57.0493186183507,3,4,"D"
"95","M","site-d",29.938408734772,3,5,"D"
"119","M","site-b",30.6050773073604,3,6,"D"
"52","M","site-c",48.8067985130958,3,7,"D"
"164","F","site-c",57.2889835011117,3,8,"D"
"43","F","site-f",48.6892941776926,3,9,"D"
"204","M","site-d",43.0845517251166,3,10,"D"
"45","F","site-e",64.9617327500336,3,11,"D"
"87","M","site-f",41.2669962251202,3,12,"D"
"173","F","site-b",41.2734041439877,3,1,"E"
"69","M","site-a",59.4869001952888,3,2,"E"
"154","F","site-e",41.7311682403884,3,3,"E"
"14","M","site-c",56.2600557536155,3,4,"E"
"BLANK-2",NA,"blank",NA,3,5,"E"
"68","M","site-b",52.9234354989724,3,6,"E"
"7","F","site-a",58.1765377759761,3,7,"E"
"BLANK-1",NA,"blank",NA,3,8,"E"
"101","M","site-f",50.2475937868888,3,9,"E"
"177","F","site-a",69.8913575022566,3,10,"E"
"178","F","site-f",46.9946495669795,3,11,"E"
"REP-5",NA,"replicate",NA,3,12,"E"
"156","M","site-f",57.3357043081511,4,1,"A"
"35","F","site-e",36.4033382076258,4,2,"A"
"11","M","site-f",45.0370564615169,4,3,"A"
"19","M","site-f",68.4349692908438,4,4,"A"
"85","M","site-c",38.0004405948852,4,5,"A"
"158","F","site-e",45.9811242022425,4,6,"A"
"201","M","site-f",60.4441490792672,4,7,"A"
"135","F","site-b",64.0197177465066,4,8,"A"
"82","M","site-b",51.6455915118058,4,9,"A"
"148","M","site-d",44.2997540177955,4,10,"A"
"143","M","site-c",37.8935341590926,4,11,"A"
"BLANK-12",NA,"blank",NA,4,12,"A"
"BLANK-7",NA,"blank",NA,4,1,"B"
"102","M","site-f",36.5534185491128,4,2,"B"
"BLANK-10",NA,"blank",NA,4,3,"B"
"51","M","site-a",53.0413763963478,4,4,"B"
"205","M","site-a",58.1547201606782,4,5,"B"
"212","F","site-a",43.4150806247975,4,6,"B"
"152","M","site-e",46.8796886141739,4,7,"B"
"208","F","site-b",59.6388258077957,4,8,"B"
"94","M","site-b",61.2830508025633,4,9,"B"
"73","F","site-c",59.6281009596942,4,10,"B"
"1","M","site-c",63.4217381850261,4,11,"B"
"23","F","site-e",52.1435234930853,4,12,"B"
"78","F","site-f",47.1258293356571,4,1,"C"
"41","F","site-b",44.2851409588831,4,2,"C"
"29","F","site-e",46.2803541411603,4,3,"C"
"187","F","site-a",52.2908756253106,4,4,"C"
"REP-2",NA,"replicate",NA,4,5,"C"
"91","M","site-b",58.8726022346284,4,6,"C"
"39","F","site-b",60.0375151918292,4,7,"C"
"114","F","site-d",50.8307265378407,4,8,"C"
"56","F","site-c",52.3654199961219,4,9,"C"
"138","M","site-a",68.6571245507839,4,10,"C"
"151","M","site-d",41.4048603484916,4,11,"C"
"104","F","site-c",57.2338792928908,4,12,"C"
"53","F","site-a",57.0672181838644,4,1,"D"
"8","M","site-a",72.2545125489331,4,2,"D"
"60","M","site-c",43.7684341559767,4,3,"D"
"12","F","site-d",51.1096779477521,4,4,"D"
"174","F","site-a",55.591653529682,4,5,"D"
"194","F","site-d",47.1309343547481,4,6,"D"
"65","F","site-e",62.0311858918136,4,7,"D"
"REP-3",NA,"replicate",NA,4,8,"D"
"83","M","site-d",48.0643662371974,4,9,"D"
"109","F","site-c",48.4479174220888,4,10,"D"
"180","M","site-c",34.0807969721369,4,11,"D"
"108","M","site-e",42.7237016971203,4,12,"D"
"214","M","site-f",55.1083788886505,4,1,"E"
"74","F","site-f",51.5805024523695,4,2,"E"
"111","F","site-f",46.2154438557222,4,3,"E"
"163","M","site-a",41.6939711483223,4,4,"E"
"63","M","site-d",50.4221467286357,4,5,"E"
"105","M","site-f",59.7575568546917,4,6,"E"
"179","M","site-b",43.4019813509383,4,7,"E"
"137","F","site-f",37.7036253542173,4,8,"E"
"131","M","site-e",23.8049515191315,4,9,"E"
"75","M","site-d",21.8406580963733,4,10,"E"
"64","M","site-b",51.1059248988806,4,11,"E"
"184","F","site-f",48.9120545159487,4,12,"E"
