"id","sex","location","weight","group","col","row"
"186","M","site-f",73.4900910312728,2,9,"B"
"38","M","site-c",49.338336333583,2,10,"B"
"58","F","site-d",44.6872006881443,2,11,"B"
"27","F","site-f",45.77191393231,2,12,"B"
"BLANK-11",NA,"blank",NA,2,1,"C"
"85","M","site-c",38.0004405948852,2,2,"C"
"EXTRA-19",NA,"extra",NA,2,3,"C"
"EXTRA-9",NA,"extra",NA,2,4,"C"
"165","M","site-d",63.6348100270099,2,5,"C"
"78","F","site-f",47.1258293356571,2,6,"C"
"207","M","site-d",51.1855006315971,2,7,"C"
"2","F","site-c",59.6073927946445,2,8,"C"
"115","M","site-f",67.7212078752946,2,9,"C"
"90","M","site-f",61.0970495103659,2,10,"C"
"193","F","site-d",58.9519045834008,2,11,"C"
"118","M","site-c",36.2370100942618,2,12,"C"
"67","M","site-f",58.8680009998934,2,1,"D"
"EXTRA-32",NA,"extra",NA,2,2,"D"
"131","M","site-e",23.8049515191315,2,3,"D"
"17","M","site-c",44.7559826502586,2,4,"D"
"60","M","site-c",43.7684341559767,2,5,"D"
"59","M","site-b",44.2035408320696,2,6,"D"
"103","F","site-c",72.0564722161608,2,7,"D"
"4","F","site-f",33.9618264219088,2,8,"D"
"84","M","site-b",60.4798735887323,2,9,"D"
"205","M","site-a",58.1547201606782,2,10,"D"
"83","M","site-d",48.0643662371974,2,11,"D"
"EXTRA-10",NA,"extra",NA,2,12,"D"
"66","F","site-e",42.6690106885461,2,1,"E"
"EXTRA-12",NA,"extra",NA,2,2,"E"
"80","M","site-a",49.3557662664369,2,3,"E"
"55","F","site-f",34.0202821358409,2,4,"E"
"23","F","site-e",52.1435234930853,2,5,"E"
"EXTRA-7",NA,"extra",NA,2,6,"E"
"BLANK-9",NA,"blank",NA,2,7,"E"
"9","M","site-f",54.0565001031522,2,8,"E"
"82","M","site-b",51.6455915118058,2,9,"E"
"EXTRA-1",NA,"extra",NA,2,10,"E"
"94","M","site-b",61.2830508025633,2,11,"E"
"REP-1",NA,"replicate",NA,2,12,"E"
"209","M","site-e",52.9161234952287,2,1,"F"
"133","F","site-c",56.5632834297015,2,2,"F"
"206","F","site-b",38.1522774268938,2,3,"F"
"3","M","site-a",51.4087354565228,2,4,"F"
"EXTRA-20",NA,"extra",NA,2,5,"F"
"77","F","site-a",61.8929338593088,2,6,"F"
"117","F","site-f",42.3449920301379,2,7,"F"
"198","M","site-b",45.6310070621417,2,8,"F"
"37","F","site-b",67.6288076320916,2,9,"F"
"BLANK-10",NA,"blank",NA,2,10,"F"
"134","F","site-a",25.9800978717785,2,11,"F"
"189","M","site-d",35.2157832154024,2,12,"F"
"112","M","site-f",49.3832989416994,3,1,"A"
"217","F","site-a",52.7830839369026,3,2,"A"
"EXTRA-28",NA,"extra",NA,3,3,"A"
"110","M","site-d",46.7477916711134,3,4,"A"
"5","F","site-c",39.8692202685967,3,5,"A"
"188","F","site-d",37.5555806024377,3,6,"A"
"178","F","site-f",46.9946495669795,3,7,"A"
"137","F","site-f",37.7036253542173,3,8,"A"
"26","M","site-a",42.2668975450828,3,9,"A"
"51","M","site-a",53.0413763963478,3,10,"A"
"213","M","site-d",57.7643230865879,3,11,"A"
"BLANK-3",NA,"blank",NA,3,12,"A"
"191","M","site-c",49.1345164663984,3,1,"B"
"202","M","site-e",60.1391606060102,3,2,"B"
"164","F","site-c",57.2889835011117,3,3,"B"
"41","F","site-b",44.2851409588831,3,4,"B"
"EXTRA-39",NA,"extra",NA,3,5,"B"
"BLANK-2",NA,"blank",NA,3,6,"B"
"EXTRA-27",NA,"extra",NA,3,7,"B"
"211","F","site-f",60.5113803621817,3,8,"B"
"182","M","site-c",55.6021179159794,3,9,"B"
"11","M","site-f",45.0370564615169,3,10,"B"
"152","M","site-e",46.8796886141739,3,11,"B"
"EXTRA-2",NA,"extra",NA,3,12,"B"
"180","M","site-c",34.0807969721369,3,1,"C"
"139","F","site-c",54.5079975615237,3,2,"C"
"29","F","site-e",46.2803541411603,3,3,"C"
"EXTRA-8",NA,"extra",NA,3,4,"C"
"EXTRA-4",NA,"extra",NA,3,5,"C"
"136","M","site-f",50.6581998936843,3,6,"C"
"65","F","site-e",62.0311858918136,3,7,"C"
"EXTRA-3",NA,"extra",NA,3,8,"C"
"185","M","site-a",38.4238397747406,3,9,"C"
"14","M","site-c",56.2600557536155,3,10,"C"
"75","M","site-d",21.8406580963733,3,11,"C"
"216","F","site-b",53.2717214512176,3,12,"C"
"REP-5",NA,"replicate",NA,3,1,"D"
"EXTRA-13",NA,"extra",NA,3,2,"D"
"22","M","site-d",53.3148898876956,3,3,"D"
"101","M","site-f",50.2475937868888,3,4,"D"
"61","F","site-b",57.7289991020819,3,5,"D"
"EXTRA-30",NA,"extra",NA,3,6,"D"
"74","F","site-f",51.5805024523695,3,7,"D"
"EXTRA-37",NA,"extra",NA,3,8,"D"
"159","M","site-b",35.1895394794171,3,9,"D"
"201","M","site-f",60.4441490792672,3,10,"D"
"13","M","site-d",46.9747257354792,3,11,"D"
"200","F","site-a",44.1718200434512,3,12,"D"
"98","F","site-e",47.6942234939492,3,1,"E"
"76","F","site-d",51.8130929645632,3,2,"E"
"156","M","site-f",57.3357043081511,3,3,"E"
"126","F","site-c",37.5892066004783,3,4,"E"
"92","M","site-e",42.184648402073,3,5,"E"
"179","M","site-b",43.4019813509383,3,6,"E"
"172","F","site-d",50.1778313756533,3,7,"E"
"64","M","site-b",51.1059248988806,3,8,"E"
"EXTRA-44",NA,"extra",NA,3,9,"E"
"REP-6",NA,"replicate",NA,3,10,"E"
"119","M","site-b",30.6050773073604,3,11,"E"
"EXTRA-5",NA,"extra",NA,3,12,"E"
"161","M","site-f",61.2162417886775,3,1,"F"
"181","F","site-f",63.8645590834722,3,2,"F"
"123","F","site-e",46.4300360354938,3,3,"F"
"173","F","site-b",41.2734041439877,3,4,"F"
"144","M","site-b",59.9555181689305,3,5,"F"
"163","M","site-a",41.6939711483223,3,6,"F"
"176","F","site-a",59.8077986881521,3,7,"F"
"7","F","site-a",58.1765377759761,3,8,"F"
"69","M","site-a",59.4869001952888,3,9,"F"
"190","M","site-c",54.2183692831725,3,10,"F"
"BLANK-6",NA,"blank",NA,3,11,"F"
"99","F","site-e",65.628813011957,3,12,"F"
"70","M","site-d",43.4603049813654,4,1,"A"
"EXTRA-45",NA,"extra",NA,4,2,"A"
"42","F","site-b",53.7020696883229,4,3,"A"
"88","F","site-b",37.1553844330904,4,4,"A"
"81","F","site-f",46.0269758961335,4,5,"A"
"BLANK-1",NA,"blank",NA,4,6,"A"
"EXTRA-43",NA,"extra",NA,4,7,"A"
"REP-9",NA,"replicate",NA,4,8,"A"
"32","M","site-b",57.9541886046748,4,9,"A"
"BLANK-7",NA,"blank",NA,4,10,"A"
"45","F","site-e",64.9617327500336,4,11,"A"
"48","F","site-e",50.4450895749856,4,12,"A"
"EXTRA-23",NA,"extra",NA,4,1,"B"
"15","F","site-e",45.5815443837624,4,2,"B"
"8","M","site-a",72.2545125489331,4,3,"B"
"1","M","site-c",63.4217381850261,4,4,"B"
"EXTRA-14",NA,"extra",NA,4,5,"B"
"73","F","site-c",59.6281009596942,4,6,"B"
"168","M","site-a",31.5083917365448,4,7,"B"
"138","M","site-a",68.6571245507839,4,8,"B"
"39","F","site-b",60.0375151918292,4,9,"B"
"43","F","site-f",48.6892941776926,4,10,"B"
"71","F","site-f",44.7938419229349,4,11,"B"
"108","M","site-e",42.7237016971203,4,12,"B"
"116","M","site-b",50.8346495546111,4,1,"C"
"68","M","site-b",52.9234354989724,4,2,"C"
"EXTRA-11",NA,"extra",NA,4,3,"C"
"EXTRA-29",NA,"extra",NA,4,4,"C"
"124","M","site-c",58.4179667429924,4,5,"C"
"104","F","site-c",57.2338792928908,4,6,"C"
"141","F","site-b",31.9913703322747,4,7,"C"
"105","M","site-f",59.7575568546917,4,8,"C"
"REP-3",NA,"replicate",NA,4,9,"C"
"113","F","site-a",56.3710109816364,4,10,"C"
"215","M","site-c",53.5027192250875,4,11,"C"
"150","M","site-d",54.4671819628939,4,12,"C"
"212","F","site-a",43.4150806247975,4,1,"D"
"125","F","site-d",66.2618382350303,4,2,"D"
"199","M","site-f",46.2947920649888,4,3,"D"
"195","F","site-d",29.5500962444763,4,4,"D"
"EXTRA-6",NA,"extra",NA,4,5,"D"
"EXTRA-22",NA,"extra",NA,4,6,"D"
"109","F","site-c",48.4479174220888,4,7,"D"
"28","M","site-b",60.1757523495867,4,8,"D"
"220","M","site-e",47.2680205013508,4,9,"D"
"160","M","site-f",34.9442180521445,4,10,"D"
"79","M","site-f",46.7074606915154,4,11,"D"
"145","M","site-d",53.153637150415,4,12,"D"
"44","M","site-c",47.8258827742074,4,1,"E"
"192","F","site-f",34.2272961019316,4,2,"E"
"102","M","site-f",36.5534185491128,4,3,"E"
"EXTRA-16",NA,"extra",NA,4,4,"E"
"175","M","site-a",49.1888369673555,4,5,"E"
"151","M","site-d",41.4048603484916,4,6,"E"
"170","F","site-e",54.3503647513646,4,7,"E"
"33","M","site-c",52.8241609669148,4,8,"E"
"87","M","site-f",41.2669962251202,4,9,"E"
"20","F","site-d",57.0493186183507,4,10,"E"
"EXTRA-25",NA,"extra",NA,4,11,"E"
"6","F","site-e",63.0462829340588,4,12,"E"
"106","M","site-e",43.1901317417368,4,1,"F"
"54","F","site-a",42.1606049382684,4,2,"F"
"148","M","site-d",44.2997540177955,4,3,"F"
"BLANK-12",NA,"blank",NA,4,4,"F"
"135","F","site-b",64.0197177465066,4,5,"F"
"56","F","site-c",52.3654199961219,4,6,"F"
"EXTRA-42",NA,"extra",NA,4,7,"F"
"132","M","site-f",36.8440805308807,4,8,"F"
"100","M","site-b",35.6044422689281,4,9,"F"
"REP-8",NA,"replicate",NA,4,10,"F"
"177","F","site-a",69.8913575022566,4,11,"F"
"184","F","site-f",48.9120545159487,4,12,"F"
