"id","sex","location","weight","group"
70,"M","site-d",43.4603049813654,2
72,"M","site-d",57.5960913579172,3
22,"M","site-d",53.3148898876956,4
95,"M","site-d",29.938408734772,1
213,"M","site-d",57.7643230865879,2
23,"F","site-e",52.1435234930853,3
197,"F","site-e",76.6655851961488,4
98,"F","site-e",47.6942234939492,1
158,"F","site-e",45.9811242022425,2
154,"F","site-e",41.7311682403884,3
18,"F","site-e",58.9544014601403,4
35,"F","site-e",36.4033382076258,1
65,"F","site-e",62.0311858918136,2
127,"F","site-e",62.320577078741,3
123,"F","site-e",46.4300360354938,4
29,"F","site-e",46.2803541411603,1
6,"F","site-e",63.0462829340588,2
170,"F","site-e",54.3503647513646,3
66,"F","site-e",42.6690106885461,4
40,"F","site-e",48.5234416017715,1
45,"F","site-e",64.9617327500336,2
157,"F","site-e",37.2844501915196,3
15,"F","site-e",45.5815443837624,4
99,"F","site-e",65.628813011957,1
48,"F","site-e",50.4450895749856,2
92,"M","site-e",42.184648402073,3
202,"M","site-e",60.1391606060102,4
106,"M","site-e",43.1901317417368,1
183,"M","site-e",54.1423293897984,2
152,"M","site-e",46.8796886141739,3
209,"M","site-e",52.9161234952287,4
131,"M","site-e",23.8049515191315,1
169,"M","site-e",58.6805767393266,2
108,"M","site-e",42.7237016971203,3
220,"M","site-e",47.2680205013508,4
111,"F","site-f",46.2154438557222,1
211,"F","site-f",60.5113803621817,2
4,"F","site-f",33.9618264219088,3
184,"F","site-f",48.9120545159487,4
55,"F","site-f",34.0202821358409,1
27,"F","site-f",45.77191393231,2
147,"F","site-f",37.783887032688,3
21,"F","site-f",56.6330604126865,4
81,"F","site-f",46.0269758961335,1
74,"F","site-f",51.5805024523695,2
24,"F","site-f",44.7344684930108,3
128,"F","site-f",49.2552335974979,4
178,"F","site-f",46.9946495669795,1
16,"F","site-f",44.7800523626823,2
192,"F","site-f",34.2272961019316,3
43,"F","site-f",48.6892941776926,4
117,"F","site-f",42.3449920301379,1
71,"F","site-f",44.7938419229349,2
196,"F","site-f",61.8123843080484,3
78,"F","site-f",47.1258293356571,4
181,"F","site-f",63.8645590834722,1
137,"F","site-f",37.7036253542173,2
101,"M","site-f",50.2475937868888,3
132,"M","site-f",36.8440805308807,4
199,"M","site-f",46.2947920649888,1
160,"M","site-f",34.9442180521445,2
112,"M","site-f",49.3832989416994,3
9,"M","site-f",54.0565001031522,4
11,"M","site-f",45.0370564615169,1
162,"M","site-f",56.9950925334032,2
186,"M","site-f",73.4900910312728,3
214,"M","site-f",55.1083788886505,4
89,"M","site-f",52.512155507674,1
156,"M","site-f",57.3357043081511,2
79,"M","site-f",46.7074606915154,3
219,"M","site-f",45.6096194532593,4
136,"M","site-f",50.6581998936843,1
201,"M","site-f",60.4441490792672,2
30,"M","site-f",38.1814475346754,3
161,"M","site-f",61.2162417886775,4
102,"M","site-f",36.5534185491128,1
115,"M","site-f",67.7212078752946,2
87,"M","site-f",41.2669962251202,3
90,"M","site-f",61.0970495103659,4
19,"M","site-f",68.4349692908438,1
67,"M","site-f",58.8680009998934,2
105,"M","site-f",59.7575568546917,3
203,"M","site-f",65.4701740745728,4
